circuit_id,circuit_ref,circuit_nm,circuit_type,race_direction,circuit_city,circuit_country,circuit_length_miles,circuit_length_km,race_nm,races_held,season_utilize
25,galvez,Autodromo de Buenos Aires Oscar y Juan Galvez,Race circuit,Clockwise,Buenos Aires,Argentina,2.646 mi,4.259 km ,Argentine Grand Prix,20,"1953 1958, 1960, 1972 1975, 1977 1981, 1995 1998"
29,adelaide,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,Australia,2.349 mi,3.780 km ,Australian Grand Prix,11,1985 1995
1,albert_park,Albert Park Circuit,Street circuit,Clockwise,Melbourne,Australia,3.295 mi,5.303 km ,Australian Grand Prix,24,1996 2019
70,red_bull_ring,Red Bull Ring,Race circuit,Clockwise,Spielburg,Austria,2.683 mi,4.318 km ,"Austrian Grand Prix,Styrian Grand Prix",33,"1970 1987, 1997 2003, 2014 2020[a]"
57,zeltweg,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,Austria,1.980 mi,3.186 km ,Austrian Grand Prix,1,1964
73,BAK,Baku City Circuit,Street circuit,Anti-clockwise,Baku,Azerbaijan,3.730 mi,6.003 km ,"European Grand Prix,Azerbaijan Grand Prix",4,2016 2019
3,bahrain,Bahrain International Circuit,Race circuit,Clockwise,Sakhir,Bahrain,2.202 mi,3.543 km ,"Bahrain Grand Prix,Sakhir Grand Prix",17,"2004 2010, 2012 2020[a]"
50,nivelles,Nivelles-Baulers,Race circuit,Clockwise,Nivelles,Belgium,2.314 mi,3.724 km ,Belgian Grand Prix,2,"1972, 1974"
40,zolder,Circuit Zolder,Race circuit,Clockwise,Heusden-Zolder,Belgium,2.648 mi,4.262 km ,Belgian Grand Prix,10,"1973, 1975 1982, 1984"
13,spa,Circuit de Spa-Francorchamps,Race circuit,Clockwise,Stavelot,Belgium,4.352 mi,7.004 km ,Belgian Grand Prix,53,"1950 1956, 1958, 1960 1968, 1970, 1983, 1985 2002, 2004 2005, 2007 2020"
36,jacarepagua,Autodromo de Buenos Aires Oscar y Juan Glvez,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,3.126 mi,5.031 km ,Brazilian Grand Prix,10,"1978, 1981 1989"
18,interlagos,Interlagos,Race circuit,Anti-clockwise,Sao Paulo,Brazil,2.677 mi,4.309 km ,"Brazilian Grand Prix,SÃ£o Paulo Grand Prix",37,"1973 1977, 1979 1980, 1990 2019"
7,villeneuve,Circuit Gilles Villeneuveâœ”,Street circuit,Clockwise,Montreal,Canada,2.710 mi,4.361 km ,Canadian Grand Prix,40,"1978 1986, 1988 2008, 2010 2019"
48,mosport,Mosport International Raceway,Race circuit,Clockwise,Ontario,Canada,2.459 mi,3.957 km ,Canadian Grand Prix,8,"1967, 1969, 1971 1974, 1976 1977"
52,tremblant,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,Canada,2.650 mi,4.265 km ,Canadian Grand Prix,2,"1968, 1970"
17,shanghai,Shanghai International Circuit,Race circuit,Clockwise,Shanghai,China,3.387 mi,5.451 km ,Chinese Grand Prix,16,2004 2019
51,charade,Charade Circuit,Road circuit,Clockwise,Saint-Genes-Champanelle,France,5.005 mi,8.055 km ,French Grand Prix,4,"1965, 1969 1970, 1972"
41,dijon,Dijon-Prenois,Race circuit,Clockwise,Prenois,France,2.415 mi,3.886 km ,"French Grand Prix,Swiss Grand Prix",6,"1974, 1977, 1979, 1981 1982, 1984"
34,ricard,French Grand Prix,Race circuit,Clockwise,Le Castellet,France,3.630 mi,5.842 km ,French Grand Prix,16,"1971, 1973, 1975 1976, 1978, 1980, 1982 1983, 1985 1990, 2018 2019"
54,lemans,Bugatti Circuit,Race circuit,Clockwise,Le Mans,France,2.753 mi,4.430 km ,French Grand Prix,1,1967
8,magny_cours,Circuit de Nevers Magny-Cours,Race circuit,Clockwise,Magny-Cours,France,2.741 mi,4.411 km ,French Grand Prix,18,1991 2008
55,reims,Reims-Gueux,Road circuit,Clockwise,Gueux,France,5.159 mi,8.302 km ,French Grand Prix,11,"1950 1951, 1953 1954, 1956, 1958 1961, 1963, 1966"
53,essarts,Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,4.065 mi,6.542 km ,French Grand Prix,5,"1952, 1957, 1962, 1964, 1968"
61,avus,AVUS,Road circuit,Anti-clockwise,Berlin,Germany,5.157 mi,8.300 km ,German Grand Prix,1,1959
10,hockenheimring,Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,2.842 mi,4.574 km ,German Grand Prix,37,"1970, 1977 1984, 1986 2006, 2008, 2010, 2012, 2014, 2016, 2018 2019"
20,nurburgring,Nurburgring Grand Prix,Race circuit,Clockwise,Nurburgring,Germany,3.199 mi,5.148 km ,"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix",41,"1951 1954, 1956 1958, 1961 1969, 1971 1976, 1984 1985, 1995 2007, 2009, 2011, 2013, 2020"
11,hungaroring,Hungaroring,Race circuit,Clockwise,Budapest,Hungary,2.722 mi,4.381 km ,Hungarian Grand Prix,35,1986 2020
