no_deaths_storms,no_people_injured_storms,no_people_affected_storms,no_people_left_homeless_storms,no_total_people_affected_storms,reconstruction_costs_storms,insured_damages_storms,total_economic_damages_storms,death_rates_storms,injury_rates_storms,no_people_affected_storms_per_100000,homelessness_rate_storms,total_no_people_affected_storms_per_100000,total_economic_damages_storms_share_GDP,Entity,Year
6000,0,0,0,0,0,0,30000,7.713919325,0,0,0,0,,United States,1900
98,0,0,0,0,0,0,0,0.119117214,0,0,0,0,,United States,1903
298,0,0,0,0,0,0,0,0.34163552,0,0,0,0,,United States,1906
391,0,0,0,0,0,0,0,0.423334382,0,0,0,0,,United States,1909
30,0,0,0,0,0,0,0,0.031884775,0,0,0,0,,United States,1910
732,0,0,0,0,0,0,200000,0.736852023,0,0,0,0,,United States,1913
525,0,0,0,0,0,0,60000,0.510750908,0,0,0,0,,United States,1915
34,0,0,0,0,0,0,0,0.031858531,0,0,0,0,,United States,1918
500,0,0,0,0,0,0,25000,0.46398383,0,0,0,0,,United States,1919
224,0,0,0,0,0,0,0,0.20527322,0,0,0,0,,United States,1920
739,0,0,0,0,0,0,18000,0.624040928,0,0,0,0,,United States,1925
268,0,0,0,0,0,0,73000,0.22314598,0,0,0,0,,United States,1926
87,0,0,0,0,0,0,22000,0.071491667,0,0,0,0,,United States,1927
1836,0,0,0,0,0,0,25000,1.490468793,0,0,0,0,,United States,1928
372,0,0,0,0,0,0,0,0.291129965,0,0,0,0,,United States,1932
40,0,0,0,0,0,0,0,0.0311104,0,0,0,0,,United States,1933
408,0,0,0,0,0,0,6000,0.31325192,0,0,0,0,,United States,1935
455,0,0,0,0,0,0,21000,0.347087456,0,0,0,0,,United States,1936
,,,,,,,,,,,,,,United States,1937
600,0,0,0,0,0,0,306000,0.451296666,0,0,0,0,,United States,1938
50,0,0,0,0,0,0,0,0.036982761,0,0,0,0,,United States,1940
,,,,,,,,,,,,,,United States,1943
390,0,0,0,0,0,0,100000,0.275599334,0,0,0,0,,United States,1944
196,0,0,0,0,0,0,0,0.136971873,0,0,0,0,,United States,1945
33,0,0,0,0,0,0,0,0.022751062,0,0,0,0,,United States,1946
308,0,0,0,0,0,0,100000,0.209049668,0,0,0,0,,United States,1947
42,0,0,0,0,0,0,0,0.028001389,0,0,0,0,,United States,1948
87,0,0,0,0,0,0,0,0.056328927,0,0,0,0,,United States,1949
272,0,0,0,0,0,0,100000,0.17128032,0,0,0,0,,United States,1950
,,,,,,,,,,,,,,United States,1951
279,0,0,0,0,0,0,0,0.170886774,0,0,0,0,,United States,1952
468,0,0,0,0,0,0,52000,0.282080646,0,0,0,0,,United States,1953
223,0,0,0,0,0,0,731000,0.132159112,0,0,0,0,,United States,1954
365,0,0,0,0,0,0,832000,0.212598664,0,0,0,0,,United States,1955
232,0,0,0,0,0,0,0,0.13279529,0,0,0,0,,United States,1956
469,0,0,0,0,0,0,150000,0.263852231,0,0,0,0,,United States,1957
139,0,0,0,0,0,0,0,0.076885634,0,0,0,0,,United States,1958
71,0,0,0,0,0,0,0,0.038631887,0,0,0,0,,United States,1959
50,0,0,0,0,0,0,387000,0.026777921,0,0,0,0,0.071231364,United States,1960
146,0,0,0,0,0,0,408000,0.077016406,0,0,0,0,0.072430321,United States,1961
158,0,0,0,0,0,0,350000,0.082157305,0,0,0,0,0.057841679,United States,1962
229,0,0,0,0,0,0,0,0.117476864,0,0,0,0,0,United States,1963
183,0,0,0,0,0,0,250000,0.09270141,0,0,0,0,0.036453777,United States,1964
570,1000,0,0,1000,0,0,1610000,0.285379555,0.500665886,0,0,0.500665886,0.216485142,United States,1965
290,0,0,0,0,0,0,100000,0.143638309,0,0,0,0,0.012269939,United States,1966
275,0,0,0,0,0,0,200000,0.134866732,0,0,0,0,0.023209934,United States,1967
159,0,458,0,458,0,0,8000,0.077257223,0,0.222539673,0,0.222539673,0.000848806,United States,1968
715,0,0,0,0,0,0,1420000,0.344314464,0,0,0,0,0.139229336,United States,1969
37,0,0,0,0,0,0,597000,0.017660003,0,0,0,0,0.055622845,United States,1970
158,0,0,0,0,0,0,0,0.074745487,0,0,0,0,0,United States,1971
256,0,0,0,0,0,0,2100000,0.120035636,0,0,0,0,0.164176654,United States,1972
50,0,246,0,246,0,0,50000,0.023236467,0,0.11432342,0,0.11432342,0.003507837,United States,1973
352,0,0,0,0,0,0,1000000,0.162126056,0,0,0,0,0.064714866,United States,1974
102,0,200,0,200,0,0,550000,0.046558124,0,0.091290439,0,0.091290439,0.032642887,United States,1975
,,,,,,,,,,,,,,United States,1976
91,0,0,0,0,0,0,0,0.040782303,0,0,0,0,0,United States,1977
215,0,0,0,0,0,0,100000,0.09546094,0,0,0,0,0.004252424,United States,1978
186,160,2000,0,2160,0,0,2863000,0.08181614,0.070379475,0.879743436,0,0.950122911,0.108969943,United States,1979
12,170,0,400,570,0,0,910000,0.005229305,0.074081821,0,0.174310168,0.248391989,0.031848137,United States,1980
30,0,0,0,0,0,0,861000,0.012951355,0,0,0,0,0.026847186,United States,1981
503,0,36000,15500,51500,0,0,2112000,0.215120904,0,15.39632712,6.628974177,22.0253013,0.063161861,United States,1982
132,0,0,6000,6000,0,0,4655000,0.055925094,0,0,2.542049739,2.542049739,0.128094352,United States,1983
517,657,14000,0,14657,0,280000,2545600,0.216992583,0.275752663,5.876008038,0,6.1517607,0.063047199,United States,1984
363,500,1000000,20000,1020500,0,631600,5081600,0.150935551,0.207900208,415.8004158,8.316008316,424.3243243,0.117115082,United States,1985
1,80,0,0,80,0,0,70000,0.000411924,0.03295395,0,0,0.03295395,0.001528508,United States,1986
151,0,3200,0,3200,0,0,204000,0.061619325,0,1.305840004,0,1.305840004,0.004201663,United States,1987
27,0,0,0,0,0,992000,0,0.010914736,0,0,0,0,0,United States,1988
108,100,0,25000,25100,0,1532000,7880000,0.043247399,0.040043888,0,10.01097203,10.05101591,0.139677183,United States,1989
162,0,10668,0,10668,0,2050000,635000,0.064255117,0,4.23131842,0,4.23131842,0.010648752,United States,1990
87,100,2900,0,3000,0,1710000,2560000,0.034179437,0.039286709,1.139314568,0,1.178601277,0.041571061,United States,1991
97,55,45000,250000,295055,0,23292000,34500000,0.037744511,0.021401527,17.51034028,97.27966824,114.8114101,0.529114324,United States,1992
291,300,0,300,600,0,3465000,5125000,0.112124902,0.115592682,0,0.115592682,0.231185364,0.07472414,United States,1993
165,450,20300,1000,21750,0,1197800,850000,0.062919225,0.171597887,7.740971328,0.381328637,8.293897851,0.011664224,United States,1994
150,160,84000,2000,86160,0,6996000,13645000,0.056568765,0.060340016,31.67850839,0.7542502,32.49309861,0.178605321,United States,1995
287,131,4000,0,4131,0,3680000,3400000,0.106955854,0.048819571,1.490673927,0,1.539493498,0.042115068,United States,1996
180,222,4670,0,4892,0,2416500,2242000,0.06624613,0.081703561,1.718719048,0,1.800422609,0.026138,United States,1997
203,495,151547,1579,153621,0,6844000,10053450,0.073771234,0.179885522,55.07295197,0.573816645,55.82665414,0.110930704,United States,1998
227,929,3050951,6990,3058870,62500,5843000,12600500,0.081494033,0.333515229,1095.305297,2.50944182,1098.148255,0.130837347,United States,1999
105,351,19218,3585,23154,0,944000,1865600,0.037272239,0.12459577,6.821884646,1.272580729,8.219061145,0.018196892,United States,2000
82,251,109404,71398,181053,0,3700500,6328800,0.028811558,0.088191477,38.44024061,25.08643468,63.61486676,0.05980835,United States,2001
190,317,18150,432,18899,0,4453000,6275000,0.066137795,0.110345689,6.317899845,0.150376459,6.578621992,0.057377199,United States,2002
172,421,227995,15231,243647,0,6657000,15148400,0.059348,0.145264582,78.66887956,5.255403428,84.06954758,0.132205757,United States,2003
215,57,5078900,753,5079710,0,31212500,55224770,0.073540728,0.019496844,1737.237215,0.257563571,1737.514276,0.452154302,United States,2004
1882,8,830165,132,830305,0,82965000,158230000,0.637979112,0.00271192,281.4176034,0.044746675,281.465062,1.21373671,United States,2005
93,258,5405,0,5663,0,4618500,4727860,0.031233312,0.086647253,1.815226359,0,1.901873612,0.034223647,United States,2006
245,417,7700,200,8317,0,3866000,5820000,0.08150149,0.138718863,2.56147541,0.066531829,2.766726102,0.040271521,United States,2007
258,597,2300550,0,2301147,0,24162500,45760000,0.085012154,0.196714171,758.0415171,0,758.2382313,0.311021695,United States,2008
74,158,750,0,908,0,6000000,10390000,0.02415869,0.051582068,0.244851587,0,0.296433655,0.071908588,United States,2009
118,241,10700,0,10941,0,5270000,9150000,0.038186342,0.077990749,3.462659816,0,3.540650565,0.061032144,United States,2010
762,3593,370600,15000,389193,0,21635000,43450000,0.244556845,1.153140084,118.9406388,4.814111123,124.90789,0.279554257,United States,2011
190,437,89300,267,90004,0,12610000,77497000,0.060501076,0.139152475,28.43550585,0.085019934,28.65967826,0.478465148,United States,2012
