Entity,Year,no_us_hurricanes_HUDRAT_NOAA,no_major_us_hurricanes_HUDRAT_ NOAA,no_major_north_atlantic_hurricanes_HUDRAT_NOAA,no_noth_atlantic_hurricanes_HUDRAT_NOAA,accumulated_cyclone_energy_ACE_HUDRAT_NOAA,cyclone_power_dissipation_index_PDI_HUDRAT_NOAA,hurricane_fatality_rate,ACE,deaths_hurricanes_us,total_economic_damages_storms,death_bin
North Atlantic,1851,2,1,1,3,36,0,0,36.24,,,
North Atlantic,1852,3,1,1,5,73,0,0,73.28,,,
North Atlantic,1853,1,0,2,4,76,0,0,76.49,,,
North Atlantic,1854,3,1,1,3,31,0,0,31,,,
North Atlantic,1855,1,1,1,4,18,0,0,18.12,,,
North Atlantic,1856,2,1,2,4,49,0,0,48.94,,,
North Atlantic,1857,1,0,0,3,40,0,0,46.84,,,
North Atlantic,1858,1,0,0,6,45,0,0,44.79,,,
North Atlantic,1859,2,0,1,7,56,0,0,55.73,,,
North Atlantic,1860,3,1,1,6,62,0,0,62.06,,,
North Atlantic,1861,3,0,0,6,50,0,0,49.71,,,
North Atlantic,1862,0,0,0,3,46,0,0,46.03,,,
North Atlantic,1863,0,0,0,5,50,0,0,50.35,,,
North Atlantic,1864,0,0,0,3,27,0,0,26.55,,,
North Atlantic,1865,2,0,0,3,49,0,0,49.13,,,
North Atlantic,1866,1,0,1,6,84,0,0,83.65,,,
North Atlantic,1867,2,0,1,7,60,0,0,59.97,,,
North Atlantic,1868,0,0,0,3,35,0,0,34.65,,,
North Atlantic,1869,4,1,1,7,51,0,0,51.02,,,
North Atlantic,1870,3,0,2,10,88,0,0,87.8,,,
North Atlantic,1871,3,1,2,6,88,0,0,88.39,,,
North Atlantic,1872,0,0,0,4,65,0,0,65.38,,,
North Atlantic,1873,2,1,2,3,69,0,0,69.47,,,
North Atlantic,1874,1,0,0,4,47,0,0,47.05,,,
North Atlantic,1875,1,1,1,5,72,0,0,72.48,,,
North Atlantic,1876,1,0,2,4,57,0,0,56.05,,,
North Atlantic,1877,2,1,1,3,73,0,0,73.36,,,
North Atlantic,1878,2,0,2,10,181,0,0,180.85,,,
North Atlantic,1879,3,2,2,6,64,0,0,63.63,,,
North Atlantic,1880,4,1,2,9,131,0,0,131.08,,,
North Atlantic,1881,2,0,0,4,59,0,0,59.25,,,
North Atlantic,1882,2,1,2,4,59,0,0,59.4675,,,
North Atlantic,1883,1,0,2,3,67,0,0,66.7,,,
North Atlantic,1884,0,0,1,4,72,0,0,72.06,,,
North Atlantic,1885,1,0,0,6,58,0,0,58.3,,,
North Atlantic,1886,7,2,4,10,166,0,0,166.165,,,
North Atlantic,1887,4,0,2,11,181,0,0,181.26,,,
North Atlantic,1888,3,1,2,6,85,0,0,84.945,,,
North Atlantic,1889,1,0,0,6,104,0,0,104.0425,,,
North Atlantic,1890,0,0,1,2,33,0,0,33.345,,,
North Atlantic,1891,2,0,1,7,116,0,0,116.105,,,
North Atlantic,1892,0,0,0,5,116,0,0,115.8375,,,
North Atlantic,1893,5,3,5,10,231,0,0,231.1475,,,
North Atlantic,1894,2,1,4,5,135,0,0,135.42,,,
North Atlantic,1895,1,0,0,2,69,0,0,68.765,,,
North Atlantic,1896,3,1,2,6,136,0,0,136.0825,,,
North Atlantic,1897,1,0,0,3,55,0,0,54.54,,,
North Atlantic,1898,3,1,1,5,113,0,0,113.2375,,,
North Atlantic,1899,3,1,2,5,151,0,0,151.025,,,
North Atlantic,1900,1,1,2,3,83,0,0,83.345,6000,30000,10
North Atlantic,1901,2,0,0,6,99,0,0,98.975,0,0,1
North Atlantic,1902,0,0,0,3,33,0,0,32.65,0,0,1
North Atlantic,1903,2,0,1,7,102,0,0,102.07,98,0,1
North Atlantic,1904,2,0,0,4,30,0,0,30.345,0,0,1
North Atlantic,1905,0,0,1,1,28,0,0,28.3775,0,0,1
North Atlantic,1906,4,1,3,6,163,0,0,162.88,298,0,3
North Atlantic,1907,0,0,0,0,13,0,0,13.06,0,0,1
North Atlantic,1908,1,0,1,6,95,0,0,95.11,0,0,1
North Atlantic,1909,5,3,4,6,93,0,0,93.34,391,0,4
North Atlantic,1910,2,0,1,3,64,0,0,63.9,30,0,1
North Atlantic,1911,2,0,0,3,35,0,0,34.2875,0,0,1
North Atlantic,1912,2,0,1,4,57,0,0,57.2625,0,0,1
